name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Barcelona - Barri Gòtic (Barcelona),ESCAT0800000008002A,2026-09-09,2.18,41.38,31.0,27.3,25.3,84.0,75.0,1010.3,1008.3,18.0,0.7,26.0,76.0,130.0,0.0,0.7,xml_feed
Barcelona - Poblenou (Barcelona),ESCAT0800000008005A,2026-09-09,2.21,41.41,25.0,27.8,25.2,89.0,84.0,1012.0,1009.0,18.0,0.0,25.2,87.0,59.0,2.0,0.0,xml_feed
Barcelona - La Pedrera (Barcelona),ESCAT0800000008008A,2026-09-09,2.18,41.4,45.0,28.9,24.9,85.0,70.0,1012.4,1009.5,26.0,0.5,25.4,77.0,145.0,7.0,0.5,xml_feed
Barcelona - Psg Sant Joan (Barcelona),ESCAT0800000008009B,2026-09-09,2.17,41.4,29.0,27.0,25.0,86.0,76.0,1014.8,1012.4,18.0,0.7,25.5,77.0,121.0,1.0,0.7,xml_feed
Barcelona-Eixample Esq. (Barcelona),ESCAT0800000008011B,2026-09-09,-41.64,21.97,,27.2,25.0,85.0,74.0,1012.1,1010.0,26.0,1.1,25.7,76.0,76.0,2.0,1.1,xml_feed
Barcelona - Gràcia Centre (Barcelona),ESCAT0800000008012A,2026-09-09,2.16,41.4,78.0,26.6,25.1,84.0,76.0,1011.9,1010.0,30.0,0.8,25.2,78.0,119.0,6.0,0.8,xml_feed
Barcelona Sants-Montjuïc  (Barcelona),ESCAT0800000008014B,2026-09-09,2.14,41.38,45.0,28.7,24.4,85.0,68.0,1011.6,1008.8,32.0,1.2,24.5,81.0,144.0,5.0,1.2,xml_feed
Barcelona - Can Bruixa (Barcelona),ESCAT0800000008014C,2026-09-09,2.13,41.38,61.0,27.2,25.4,82.0,73.0,1011.4,1009.5,37.0,0.8,25.4,75.0,132.0,5.0,0.8,xml_feed
BCN Pl. Sants - Pl. Farga (Barcelona),ESCAT0800000008014F,2026-09-09,2.14,41.37,40.0,28.7,25.2,85.0,70.0,1012.4,1009.7,39.0,1.0,25.2,79.0,129.0,11.0,1.0,xml_feed
Barcelona - Hostafrancs (Barcelona),ESCAT0800000008014G,2026-09-09,2.14,41.37,39.0,27.5,25.5,82.0,74.0,1011.9,1009.5,13.0,0.5,25.7,77.0,149.0,2.0,0.5,xml_feed
Barcelona - Sarrià (Barcelona),ESCAT0800000008017B,2026-09-09,2.13,41.4,80.0,27.0,23.9,90.0,71.0,1010.0,1007.7,7.0,0.5,23.9,84.0,306.0,1.0,0.5,xml_feed
Barcelona - Rectoret (Barcelona),ESCAT0800000008017D,2026-09-09,2.1,41.43,320.0,26.2,22.4,90.0,57.0,1012.5,1009.6,14.0,0.0,22.4,89.0,5.0,0.0,0.0,xml_feed
Barcelona - El Clot (Barcelona),ESCAT0800000008018A,2026-09-09,2.19,41.41,,28.0,25.3,81.0,74.0,1012.1,1009.8,31.0,,25.3,78.0,180.0,3.0,,xml_feed
Barcelona - betevé (Barcelona),ESCAT0800000008018D,2026-09-09,2.19,41.4,18.0,28.2,25.8,82.0,74.0,1010.4,1007.6,29.0,0.6,25.9,76.0,85.0,5.0,0.6,xml_feed
Barcelona - Sant Martí (Barcelona),ESCAT0800000008018E,2026-09-09,2.19,41.41,20.0,28.5,25.2,85.0,77.0,1010.3,1007.9,23.0,0.6,25.2,83.0,103.0,2.0,0.6,xml_feed
Barcelona - Tibidabo (Barcelona),ESCAT0800000008023C,2026-09-09,2.12,41.42,512.0,24.2,20.8,93.0,79.0,1014.2,1010.7,39.0,0.2,20.8,92.0,112.0,2.0,0.2,xml_feed
Barcelona - El Coll-Vallcarca (Barcelona),ESCAT0800000008023D,2026-09-09,2.15,41.41,135.0,27.4,23.8,88.0,74.0,1014.5,1012.1,21.0,1.0,23.8,87.0,216.0,1.0,1.0,xml_feed
Barcelona - Sant Gervasi (Barcelona),ESCAT0800000008023I,2026-09-09,2.14,41.41,160.0,27.8,24.3,85.0,70.0,1011.2,1008.1,31.0,0.8,24.3,82.0,134.0,3.0,0.8,xml_feed
Barcelona - Gràcia (Barcelona),ESCAT0800000008024A,2026-09-09,2.16,41.41,105.0,27.9,24.7,88.0,76.0,1012.3,1009.4,44.0,1.4,24.8,83.0,169.0,6.0,1.4,xml_feed
Barcelona-Sagrada Familia (Barcelona),ESCAT0800000008025A,2026-09-09,2.18,41.41,60.0,27.7,24.6,85.0,74.0,1014.9,1012.0,18.0,0.8,24.9,79.0,191.0,2.0,0.8,xml_feed
Barcelona Camp de l'Arpa (Barcelona),ESCAT0800000008026C,2026-09-09,2.18,41.41,34.0,27.1,25.4,81.0,70.0,1014.3,1012.1,18.0,0.7,25.5,75.0,109.0,0.0,0.7,xml_feed
Barcelona-TorGuineu Navas (Barcelona),ESCAT0800000008027C,2026-09-09,2.19,41.42,,26.7,25.0,83.0,72.0,1015.2,1013.1,28.0,,25.4,75.0,149.0,4.0,,xml_feed
Barcelona - Bon Pastor  (Barcelona),ESCAT0800000008030C,2026-09-09,2.21,41.44,18.0,27.8,24.6,90.0,75.0,1011.8,1008.9,20.0,0.5,24.7,89.0,112.0,0.0,0.5,xml_feed
Barcelona - Casa  l'Aigua (Barcelona),ESCAT0800000008030E,2026-09-09,2.19,41.45,70.0,27.4,25.3,83.0,72.0,1011.8,1009.1,,0.0,25.3,83.0,,,0.0,xml_feed
Barcelona - Horta (Barcelona),ESCAT0800000008032A,2026-09-09,2.15,41.43,100.0,27.2,24.6,87.0,76.0,1011.2,1008.1,20.0,0.3,24.6,83.0,180.0,1.0,0.3,xml_feed
