id,bolets_id,name,lon,lat,elev,n_days,coverage,miss_precip,source_mode,xema_style_id,xema_style_lon,xema_style_lat,xema_style_elev,xema_style_flag
ESCAT0800000008002A,MC_ESCAT0800000008002A,Barcelona - Barri Gòtic (Barcelona),2.18,41.38,31,1,1,0,smoke,MC_ESCAT0800000008002A,2.18,41.38,31,1
ESCAT0800000008005A,MC_ESCAT0800000008005A,Barcelona - Poblenou (Barcelona),2.21,41.41,25,1,1,0,smoke,MC_ESCAT0800000008005A,2.21,41.41,25,1
ESCAT0800000008008A,MC_ESCAT0800000008008A,Barcelona - La Pedrera (Barcelona),2.18,41.4,45,1,1,0,smoke,MC_ESCAT0800000008008A,2.18,41.4,45,1
ESCAT0800000008009B,MC_ESCAT0800000008009B,Barcelona - Psg Sant Joan (Barcelona),2.17,41.4,29,1,1,0,smoke,MC_ESCAT0800000008009B,2.17,41.4,29,1
ESCAT0800000008012A,MC_ESCAT0800000008012A,Barcelona - Gràcia Centre (Barcelona),2.16,41.4,78,1,1,0,smoke,MC_ESCAT0800000008012A,2.16,41.4,78,1
ESCAT0800000008014B,MC_ESCAT0800000008014B,Barcelona Sants-Montjuïc  (Barcelona),2.14,41.38,45,1,1,0,smoke,MC_ESCAT0800000008014B,2.14,41.38,45,1
ESCAT0800000008014C,MC_ESCAT0800000008014C,Barcelona - Can Bruixa (Barcelona),2.13,41.38,61,1,1,0,smoke,MC_ESCAT0800000008014C,2.13,41.38,61,1
ESCAT0800000008014F,MC_ESCAT0800000008014F,BCN Pl. Sants - Pl. Farga (Barcelona),2.14,41.37,40,1,1,0,smoke,MC_ESCAT0800000008014F,2.14,41.37,40,1
ESCAT0800000008014G,MC_ESCAT0800000008014G,Barcelona - Hostafrancs (Barcelona),2.14,41.37,39,1,1,0,smoke,MC_ESCAT0800000008014G,2.14,41.37,39,1
ESCAT0800000008017B,MC_ESCAT0800000008017B,Barcelona - Sarrià (Barcelona),2.13,41.4,80,1,1,0,smoke,MC_ESCAT0800000008017B,2.13,41.4,80,1
ESCAT0800000008017D,MC_ESCAT0800000008017D,Barcelona - Rectoret (Barcelona),2.1,41.43,320,1,1,0,smoke,MC_ESCAT0800000008017D,2.1,41.43,320,1
ESCAT0800000008018D,MC_ESCAT0800000008018D,Barcelona - betevé (Barcelona),2.19,41.4,18,1,1,0,smoke,MC_ESCAT0800000008018D,2.19,41.4,18,1
ESCAT0800000008018E,MC_ESCAT0800000008018E,Barcelona - Sant Martí (Barcelona),2.19,41.41,20,1,1,0,smoke,MC_ESCAT0800000008018E,2.19,41.41,20,1
ESCAT0800000008023C,MC_ESCAT0800000008023C,Barcelona - Tibidabo (Barcelona),2.12,41.42,512,1,1,0,smoke,MC_ESCAT0800000008023C,2.12,41.42,512,1
ESCAT0800000008023D,MC_ESCAT0800000008023D,Barcelona - El Coll-Vallcarca (Barcelona),2.15,41.41,135,1,1,0,smoke,MC_ESCAT0800000008023D,2.15,41.41,135,1
ESCAT0800000008023I,MC_ESCAT0800000008023I,Barcelona - Sant Gervasi (Barcelona),2.14,41.41,160,1,1,0,smoke,MC_ESCAT0800000008023I,2.14,41.41,160,1
ESCAT0800000008024A,MC_ESCAT0800000008024A,Barcelona - Gràcia (Barcelona),2.16,41.41,105,1,1,0,smoke,MC_ESCAT0800000008024A,2.16,41.41,105,1
ESCAT0800000008025A,MC_ESCAT0800000008025A,Barcelona-Sagrada Familia (Barcelona),2.18,41.41,60,1,1,0,smoke,MC_ESCAT0800000008025A,2.18,41.41,60,1
ESCAT0800000008026C,MC_ESCAT0800000008026C,Barcelona Camp de l'Arpa (Barcelona),2.18,41.41,34,1,1,0,smoke,MC_ESCAT0800000008026C,2.18,41.41,34,1
ESCAT0800000008030C,MC_ESCAT0800000008030C,Barcelona - Bon Pastor  (Barcelona),2.21,41.44,18,1,1,0,smoke,MC_ESCAT0800000008030C,2.21,41.44,18,1
ESCAT0800000008030E,MC_ESCAT0800000008030E,Barcelona - Casa  l'Aigua (Barcelona),2.19,41.45,70,1,1,0,smoke,MC_ESCAT0800000008030E,2.19,41.45,70,1
ESCAT0800000008032A,MC_ESCAT0800000008032A,Barcelona - Horta (Barcelona),2.15,41.43,100,1,1,0,smoke,MC_ESCAT0800000008032A,2.15,41.43,100,1
ESCAT0800000008080A,MC_ESCAT0800000008080A,Badalona - Llefià (Barcelona),2.23,41.44,25,1,1,0,smoke,MC_ESCAT0800000008080A,2.23,41.44,25,1
ESCAT0800000008100C,MC_ESCAT0800000008100C,Mollet  -  Estació França (Barcelona),2.22,41.53,65,1,1,0,smoke,MC_ESCAT0800000008100C,2.22,41.53,65,1
ESCAT0800000008105B,MC_ESCAT0800000008105B,Sant Fost - Mas Llombart (Barcelona),2.24,41.5,175,1,1,0,smoke,MC_ESCAT0800000008105B,2.24,41.5,175,1
ESCAT0800000008105C,MC_ESCAT0800000008105C,Sant Fost - Mas Corts (Barcelona),2.25,41.5,300,1,1,0,smoke,MC_ESCAT0800000008105C,2.25,41.5,300,1
ESCAT0800000008130A,MC_ESCAT0800000008130A,Santa Perpètua de Mogoda (Barcelona),2.19,41.52,70,1,1,0,smoke,MC_ESCAT0800000008130A,2.19,41.52,70,1
ESCAT0800000008150A,MC_ESCAT0800000008150A,Parets del Vallès (Barcelona),2.22,41.56,123,1,1,0,smoke,MC_ESCAT0800000008150A,2.22,41.56,123,1
ESCAT0800000008160A,MC_ESCAT0800000008160A,Montmeló-T.de la Bandera (Barcelona),2.25,41.56,112,1,1,0,smoke,MC_ESCAT0800000008160A,2.25,41.56,112,1
ESCAT0800000008170B,MC_ESCAT0800000008170B,Montornés del V. - Lluch (Barcelona),2.25,41.55,116,1,1,0,smoke,MC_ESCAT0800000008170B,2.25,41.55,116,1
ESCAT0800000008178B,MC_ESCAT0800000008178B,Collsuspina - Centre (Barcelona),2.18,41.83,901,1,1,0,smoke,MC_ESCAT0800000008178B,2.18,41.83,901,1
ESCAT0800000008180B,MC_ESCAT0800000008180B,Moià Alt (Barcelona),2.1,41.82,824,1,1,0,smoke,MC_ESCAT0800000008180B,2.1,41.82,824,1
ESCAT0800000008180E,MC_ESCAT0800000008180E,Moià - Oest (Barcelona),2.09,41.81,735,1,1,0,smoke,MC_ESCAT0800000008180E,2.09,41.81,735,1
ESCAT0800000008183C,MC_ESCAT0800000008183C,Castellcir (Barcelona),2.15,41.76,785,1,1,0,smoke,MC_ESCAT0800000008183C,2.15,41.76,785,1
ESCAT0800000008184C,MC_ESCAT0800000008184C,Palau-solità i P. Cortés (Barcelona),2.18,41.59,125,1,1,0,smoke,MC_ESCAT0800000008184C,2.18,41.59,125,1
ESCAT0800000008188B,MC_ESCAT0800000008188B,Vallromanes - Est (Barcelona),2.31,41.53,220,1,1,0,smoke,MC_ESCAT0800000008188B,2.31,41.53,220,1
ESCAT0800000008191B,MC_ESCAT0800000008191B,Rubí - Andromeda (Barcelona),2.04,41.49,150,1,1,0,smoke,MC_ESCAT0800000008191B,2.04,41.49,150,1
ESCAT0800000008191E,MC_ESCAT0800000008191E,Rubí - Pl S.Allende (Barcelona),2.03,41.49,130,1,1,0,smoke,MC_ESCAT0800000008191E,2.03,41.49,130,1
ESCAT0800000008191F,MC_ESCAT0800000008191F,Rubí - La Serreta (Barcelona),2.04,41.5,180,1,1,0,smoke,MC_ESCAT0800000008191F,2.04,41.5,180,1
ESCAT0800000008192A,MC_ESCAT0800000008192A,St Quirze del V -VallSuau (Barcelona),2.07,41.53,230,1,1,0,smoke,MC_ESCAT0800000008192A,2.07,41.53,230,1
ESCAT0800000008195A,MC_ESCAT0800000008195A,Valldoreix (Barcelona),2.04,41.46,120,1,1,0,smoke,MC_ESCAT0800000008195A,2.04,41.46,120,1
ESCAT0800000008195B,MC_ESCAT0800000008195B,Sant Cugat Vallès-Mirasol (Barcelona),2.04,41.47,110,1,1,0,smoke,MC_ESCAT0800000008195B,2.04,41.47,110,1
ESCAT0800000008198A,MC_ESCAT0800000008198A,S. Cugat Val. La Floresta (Barcelona),2.08,41.45,217,1,1,0,smoke,MC_ESCAT0800000008198A,2.08,41.45,217,1
ESCAT0800000008201C,MC_ESCAT0800000008201C,Sabadell - Rambla (Barcelona),2.11,41.54,179,1,1,0,smoke,MC_ESCAT0800000008201C,2.11,41.54,179,1
ESCAT0800000008202B,MC_ESCAT0800000008202B,Sabadell - Centre (Barcelona),2.11,41.55,197,1,1,0,smoke,MC_ESCAT0800000008202B,2.11,41.55,197,1
ESCAT0800000008206G,MC_ESCAT0800000008206G,Sabadell - Can Rull (Barcelona),2.09,41.56,225,1,1,0,smoke,MC_ESCAT0800000008206G,2.09,41.56,225,1
ESCAT0800000008208A,MC_ESCAT0800000008208A,Sabadell - Creu Alta (Barcelona),2.1,41.56,210,1,1,0,smoke,MC_ESCAT0800000008208A,2.1,41.56,210,1
ESCAT0800000008211B,MC_ESCAT0800000008211B,Castellar del Vallès (Barcelona),2.09,41.62,331,1,1,0,smoke,MC_ESCAT0800000008211B,2.09,41.62,331,1
ESCAT0800000008221B,MC_ESCAT0800000008221B,Terrassa - Plaça Nova (Barcelona),2.02,41.56,285,1,1,0,smoke,MC_ESCAT0800000008221B,2.02,41.56,285,1
ESCAT0800000008224A,MC_ESCAT0800000008224A,Terrassa - Ca n'Aurell (Barcelona),2,41.57,300,1,1,0,smoke,MC_ESCAT0800000008224A,2,41.57,300,1
ESCAT0800000008224F,MC_ESCAT0800000008224F,Terrassa-Centre (Barcelona),2.01,41.56,300,1,1,0,smoke,MC_ESCAT0800000008224F,2.01,41.56,300,1
ESCAT0800000008225G,MC_ESCAT0800000008225G,Terrassa - Can Boada (Barcelona),2,41.57,325,1,1,0,smoke,MC_ESCAT0800000008225G,2,41.57,325,1
ESCAT0800000008226A,MC_ESCAT0800000008226A,Terrassa - Sant Pere (Barcelona),2.02,41.57,322,1,1,0,smoke,MC_ESCAT0800000008226A,2.02,41.57,322,1
